"";"Sample_name";"Sample_ID_demultiplexing";"SITE_PAIR";"PLOT_ID";"SUBPLOT";"SITE_ID";"MANAGEMENT";"MESH_TYPE";"locality_id";"GDD0";"precip_Plot_ID_coll_3";"N %";"C/N";"E3pH";"percent_mass_loss";"ergosterol_new";"bioclim_10";"bioclim_7";"vac.myr"
"1";"SKO_NN_S_1";"S002";1;1;1;"SKO";"NN";"S";"SKO_NN_1";"3618.6100260416665";"2919.48280325183";"1.66";"31.5";"4.04";"52.7540011668127";0,301872391;13,62656593;47,54360199;"20"
"2";"SKO_NN_L_2";"S003";1;1;2;"SKO";"NN";"L";"SKO_NN_2";"3619.511067708333";"2919.48280325183";"1.66";"31.5";"4.04";"63.6608925145019";0,204024604;13,62656593;47,54360199;"13"
"3";"SKO_NN_S_2";"S004";1;1;2;"SKO";"NN";"S";"SKO_NN_2";"3619.511067708333";"2919.48280325183";"1.66";"31.5";"4.04";"58.4162040973071";0,231404171;13,62656593;47,54360199;"13"
"4";"SKO_NN_L_3";"S005";1;1;3;"SKO";"NN";"L";"SKO_NN_3";"3644.442";"2919.48280325183";"1.66";"31.5";"4.04";"51.4634626611774";0,346889734;13,62656593;47,54360199;"23"
"5";"SKO_NN_S_3";"S006";1;1;3;"SKO";"NN";"S";"SKO_NN_3";"3644.442";"2919.48280325183";"1.66";"31.5";"4.04";"48.0403159207257";0,302989179;13,62656593;47,54360199;"23"
"6";"SKO_NN_L_4";"S007";1;1;4;"SKO";"NN";"L";"SKO_NN_4";"3676.7955729166665";"2919.48280325183";"1.66";"31.5";"4.04";"68.7113338603223";0,297078111;13,62656593;47,54360199;"6"
"7";"SKO_NN_S_4";"S008";1;1;4;"SKO";"NN";"S";"SKO_NN_4";"3676.7955729166665";"2919.48280325183";"1.66";"31.5";"4.04";"53.6840481569188";0,311312281;13,62656593;47,54360199;"6"
"8";"SKO_NN_L_5";"S009";1;1;5;"SKO";"NN";"L";"SKO_NN_5";"3746.098958333333";"2919.48280325183";"1.66";"31.5";"4.04";"53.107371014701";0,368806537;13,62656593;47,54360199;"5"
"9";"SKO_NN_S_5";"S010";1;1;5;"SKO";"NN";"S";"SKO_NN_5";"3746.098958333333";"2919.48280325183";"1.66";"31.5";"4.04";"49.26926286193";0,237869482;13,62656593;47,54360199;"5"
"10";"SKO_NN_L_6";"S011";1;1;6;"SKO";"NN";"L";"SKO_NN_6";"3810.4322916666665";"2919.48280325183";"1.66";"31.5";"4.04";"53.5360767980567";0,264486443;13,62656593;47,54360199;"3"
"11";"SKO_NN_S_6";"S012";1;1;6;"SKO";"NN";"S";"SKO_NN_6";"3810.4322916666665";"2919.48280325183";"1.66";"31.5";"4.04";"47.2721758259779";0,386946849;13,62656593;47,54360199;"3"
"12";"SKO_CC_L_7";"S013";1;2;7;"SKO";"CC";"L";"SKO_CC_7";"3724.966796875";"2932.13169676554";"1.69";"31";"4.03";"59.2561542417445";0,353414331;13,61310005;47,81230164;"2"
"13";"SKO_CC_S_7";"S014";1;2;7;"SKO";"CC";"S";"SKO_CC_7";"3724.966796875";"2932.13169676554";"1.69";"31";"4.03";"63.6198524673074";0,323043415;13,61310005;47,81230164;"2"
"14";"SKO_CC_L_8";"S015";1;2;8;"SKO";"CC";"L";"SKO_CC_8";"3731.0260416666665";"2932.13169676554";"1.69";"31";"4.03";"52.9930702077723";0,346476923;13,61310005;47,81230164;"4"
"15";"SKO_CC_S_8";"S016";1;2;8;"SKO";"CC";"S";"SKO_CC_8";"3731.0260416666665";"2932.13169676554";"1.69";"31";"4.03";"54.6764064435224";0,325529168;13,61310005;47,81230164;"4"
"16";"SKO_CC_L_9";"S017";1;2;9;"SKO";"CC";"L";"SKO_CC_9";"3743.4850260416665";"2932.13169676554";"1.69";"31";"4.03";"54.3907207116553";0,329191065;13,61310005;47,81230164;"2"
"17";"SKO_CC_S_9";"S018";1;2;9;"SKO";"CC";"S";"SKO_CC_9";"3743.4850260416665";"2932.13169676554";"1.69";"31";"4.03";"53.7835531052359";0,277290403;13,61310005;47,81230164;"2"
"18";"SKO_CC_L_10";"S019";1;2;10;"SKO";"CC";"L";"SKO_CC_10";"3666.322265625";"2932.13169676554";"1.69";"31";"4.03";"57.7744721713619";0,302777939;13,61310005;47,81230164;"23"
"19";"SKO_CC_S_10";"S020";1;2;10;"SKO";"CC";"S";"SKO_CC_10";"3666.322265625";"2932.13169676554";"1.69";"31";"4.03";"62.0066397900957";0,157556896;13,61310005;47,81230164;"23"
"20";"SKO_CC_L_11";"S021";1;2;11;"SKO";"CC";"L";"SKO_CC_11";"3744.12109375";"2932.13169676554";"1.69";"31";"4.03";"57.4593038546798";0,320843038;13,61310005;47,81230164;"18"
"21";"SKO_CC_S_11";"S022";1;2;11;"SKO";"CC";"S";"SKO_CC_11";"3744.12109375";"2932.13169676554";"1.69";"31";"4.03";"56.7698284841973";0,270866357;13,61310005;47,81230164;"18"
"22";"SKO_CC_L_12";"S023";1;2;12;"SKO";"CC";"L";"SKO_CC_12";"3791.473958333333";"2932.13169676554";"1.69";"31";"4.03";"57.7870065211314";0,31819349;13,61310005;47,81230164;"2"
"23";"SKO_CC_S_12";"S024";1;2;12;"SKO";"CC";"S";"SKO_CC_12";"3791.473958333333";"2932.13169676554";"1.69";"31";"4.03";"62.0765937133311";0,196503581;13,61310005;47,81230164;"2"
"24";"GUL_NN_L_13";"S025";2;3;13;"GUL";"NN";"L";"GUL_NN_13";"3462.2330729166665";"1681.19010519271";"1.72";"30.7";"4.1";"51.3985577371358";0,43919311;13,33121681;47,74009705;"2"
"25";"GUL_NN_S_13";"S026";2;3;13;"GUL";"NN";"S";"GUL_NN_13";"3462.2330729166665";"1681.19010519271";"1.72";"30.7";"4.1";"52.7026465048043";0,319207521;13,33121681;47,74009705;"2"
"26";"GUL_NN_L_14";"S027";2;3;14;"GUL";"NN";"L";"GUL_NN_14";"3378.178";"1681.19010519271";"1.72";"30.7";"4.1";"56.6390202798903";0,437277886;13,33121681;47,74009705;"25"
